Accuracy,Precision,Recall,F1
0.8399663119209861,0.8718477289905862,0.8456749803377901,0.85856193582439
0.8260615178869943,0.8170722812477207,0.895506082044313,0.8544931000069922
0.8239893196657792,0.866642856161655,0.8266270096041719,0.8461620998135705
0.8315261393645437,0.8030422297859131,0.9415067852129153,0.8667795535185396
0.8354534737685593,0.8878960077502567,0.8186484288552041,0.8518672659674824
0.8260410029609085,0.8604012783619992,0.836517882468219,0.8482915062332076
0.8284425585175801,0.8739863632537389,0.821922868866518,0.8471554555282823
0.8411511512271406,0.8735980720594272,0.8528970706104403,0.8631234668847099
0.8392265625,0.8360753775877645,0.8951555773527328,0.8646073884009342
0.8136201273489673,0.8949102778341741,0.7683808246731478,0.8268328932369451
0.8290528797022206,0.8864480453382486,0.8146514126793503,0.8490346040592083
0.830761172389187,0.8071859697073226,0.9296581936465466,0.8641040645648941
0.8294607129865406,0.8731505146093804,0.8259238931577022,0.8488808601226252
0.8411749019010248,0.8897997792842504,0.8251461988304094,0.8562542668588334
0.8279972258846303,0.901112557699136,0.7931452085476541,0.8436887488312498
0.849476174909323,0.8711299074369614,0.871605168261234,0.8713674730449705
0.8336183690842299,0.8452684264300772,0.870405391007884,0.8576527632882572
0.8359524809962183,0.8376633775576826,0.8912758539334679,0.863638384210426
0.8322936145427792,0.9010329019903673,0.804836013528398,0.8502221035844575
0.8425496827784182,0.8599518933767958,0.8677878876303154,0.8638521208120152
0.8303068204629329,0.8278475691181562,0.8925995547201002,0.8590050357635436
0.8360153491471419,0.8479123346387886,0.8750839312750971,0.8612838853470169
0.8264717052791493,0.8565953582779158,0.8412390332183651,0.8488477494227168
0.8387274606638337,0.8896752412029778,0.8261536847076107,0.8567386498894746
0.844425950386721,0.8644229512482029,0.8686235881271342,0.8665181788404848
0.825353527548103,0.8637255726581995,0.8270978481199576,0.8450149835078552
0.8367989396073233,0.8276789456526801,0.9118907131862494,0.867746502941679
0.8382919650443015,0.8546476559592407,0.8695453477136813,0.8620321409385983
0.8326897336882106,0.8430476676663902,0.874822868797097,0.8586413975978786
0.8489097767419038,0.8672255955781726,0.8704523631708098,0.8688359834139783
0.8240001810309714,0.8501437547972472,0.8468935486379305,0.8485155392815639
0.8308820156863944,0.8366741370459867,0.8804015598650927,0.8579810624297867
0.8333716404645889,0.8510757013468975,0.8645944556491478,0.8577818174684654
0.844836602327451,0.8439112811862742,0.8996269557982878,0.8708789067574239
0.846007677103763,0.8850541215653622,0.842797298904497,0.8634089878361638
0.8405975066452024,0.8702414791594719,0.8504614665680128,0.8602377841822968
0.8303933728390525,0.8702392476835845,0.8313011083662497,0.8503246468072456
0.842141554680437,0.822314590950776,0.9239251160861245,0.8701635873263933
0.8349980023971234,0.8309627296090576,0.9020827976343533,0.8650634643717983
0.8330875938891934,0.8970402188943482,0.8065791910266924,0.8494079955425546
0.8325559737689651,0.8852343887165681,0.8150223611185947,0.848678673623969
0.8429386025095672,0.8507479089077478,0.8926356787782505,0.8711885812175283
0.847352801250538,0.8585426143241212,0.8808779888355798,0.869566900681396
0.8268471043120115,0.8744588132092023,0.8176129749179807,0.8450810145621112
0.827195980354435,0.8298120638934138,0.8846009304495445,0.8563310313681953
0.8388094829870474,0.8934550096098828,0.8194111789875939,0.8548327098408866
0.8287174890617404,0.8508361723901188,0.8561708118254341,0.853495156354564
0.8380187314975355,0.8681330400586549,0.8498923327895596,0.8589158533368505
0.8262554972872493,0.8442365221819108,0.8604364523327624,0.8522595112798864
0.8400380715530277,0.8675219410075418,0.854947496495358,0.8611888205046225
0.8290588617002814,0.8395437357573936,0.8720266351068395,0.8554769483978387
0.8318410722686224,0.8008186618722932,0.9441422705700421,0.8665944728936855
0.8202693082504052,0.8589178965388704,0.8215563801550305,0.8398218142548596
0.8375427933992384,0.8619996515819519,0.856023102310231,0.859000981524635
0.8241179324845768,0.8303066885852255,0.8704391846406548,0.8498994334091416
0.8364898155847588,0.8342007986450233,0.8984222089075294,0.8651212882711934
0.824850873292135,0.8416036465347561,0.8596370562404105,0.8505247729473656
0.5362575600219928,0.620057738169951,0.5197811447811448,0.5655085570373762
0.7897924271815002,0.8300874458635624,0.7982994866625105,0.8138831977605129
0.8133647582871875,0.8943455263353944,0.7754838376269347,0.8306842793581378
0.8277881410354423,0.8717276408813234,0.8280974922733852,0.8493526296078325
0.8366091409065048,0.8505123029358408,0.8712489039536192,0.8607557293855254
0.8169669409665494,0.8077648428405122,0.8989700071257368,0.8509304963669253
0.8437911499004747,0.85813441245774,0.8778295954726473,0.8678702792312075
0.8218243819266837,0.8018021176635579,0.9166299250470961,0.8553795515326064
0.8235405985181579,0.8228734003985498,0.8903479717881775,0.8552819559426293
0.8351442828261413,0.9002766112966334,0.8091692537582604,0.8522950841915305
0.8377651155428933,0.8507279731825687,0.8764126022807809,0.8633793072807247
0.8133504081959341,0.8696224572132331,0.8008525949391841,0.8338219724733285
0.8465001954358219,0.8624629762026351,0.8750307630532492,0.8687014164378806
0.8435427174079169,0.883459737245638,0.8415823342852254,0.8620127244298269
0.8279922514909779,0.826803695375892,0.8897816938453446,0.8571374277896017
0.8260025480798399,0.8755654165473805,0.8110398048211303,0.8420683104117623
0.8372393430522237,0.8122624720133188,0.9362501819721815,0.8698603187094236
0.8430432817443618,0.8601831096227077,0.8668199817654824,0.8634887929456897
0.8467152732035644,0.8523868499466591,0.8943914772069325,0.8728841227585513
0.8302394157461307,0.8950619116904712,0.7991251325556734,0.8443772147289103
0.8361358240991452,0.860596991415295,0.8564933962140907,0.8585402903181453
0.590539993430551,0.5890088290000569,0.9602484143063335,0.7301496204112045
0.8337456892942242,0.8693490671692753,0.8383536384590056,0.8535700636302072
0.8251692767511188,0.8771171793985483,0.8113076841095599,0.8429299080943419
0.8404876335124711,0.8656540999909592,0.8596916525575907,0.8626625737655333
0.8409746464418718,0.8343703594614827,0.907158582960838,0.8692433579666045
0.8321358390931921,0.8530640396652915,0.8581677270704056,0.8556082725854767
0.8273236691436229,0.8586355580244954,0.8440774931738395,0.8512942904351019
0.8313352811831681,0.8293776751791468,0.8936751826708815,0.8603267647792467
0.8295845747719098,0.797819075757234,0.9446046623407834,0.8650290996234167
0.8467864990234375,0.8590009668063164,0.8793365091513704,0.8690497926393489
0.8232551472307936,0.8618362146153317,0.823635501961507,0.8423029544215351
0.8316329247787947,0.8875240244004345,0.8193108768320905,0.8520543915711783
0.8379192911606039,0.8717002820214657,0.8455484824519325,0.8584252507436756
0.8346463382609636,0.8500468969829608,0.8682918390972841,0.8590725076523056
0.8374082180723078,0.8981314395482857,0.8156587016282513,0.8549106524449369
0.8345182377286968,0.8488384152665422,0.8706104484954857,0.8595865907852674
0.8445666493060875,0.8738377618909873,0.85068322315047,0.862105048583271
0.8370489857410254,0.8465346534653465,0.8779478964231314,0.8619551625004834
0.8416904141150792,0.8943567724307143,0.8281782505421873,0.8599962465481649
0.8134503366366593,0.8265988112548149,0.854162273302404,0.8401545302513709
0.8455541330962,0.8540816840408924,0.8879900517049545,0.8707058649878388
0.8354296904421179,0.8847207237115113,0.8255459755279054,0.854109634773319
